datetime,pcu_vol
28-02-2020 17:45,670.33
28-02-2020 17:50,611.92
28-02-2020 17:55,748.44
28-02-2020 18:00,601.08
28-02-2020 18:05,622.28
28-02-2020 18:10,634.71
28-02-2020 18:15,546.47
28-02-2020 18:20,680.85
28-02-2020 18:25,616.7
28-02-2020 18:30,482.08
28-02-2020 18:35,353.34
28-02-2020 18:40,521.8
28-02-2020 18:45,526
28-02-2020 18:50,611.59
28-02-2020 18:55,606.69
28-02-2020 19:00,453.76
