datetime,Bus_speed
27-02-2020 17:40,15.458
27-02-2020 17:45,16.226
27-02-2020 17:50,13.34
27-02-2020 17:55,13.411
27-02-2020 18:00,15.283
27-02-2020 18:05,16.119
27-02-2020 18:10,15.789
27-02-2020 18:15,15.169
27-02-2020 18:20,13.946
27-02-2020 18:25,13.694
27-02-2020 18:30,16.265
27-02-2020 18:35,16.383
27-02-2020 18:40,12.706
27-02-2020 18:45,11.982
27-02-2020 18:50,12.706
27-02-2020 18:55,15.254
27-02-2020 19:00,16.168
27-02-2020 08:35,14.67
27-02-2020 08:40,13.06
27-02-2020 08:45,12.9
27-02-2020 08:50,15.23
27-02-2020 08:55,14.94
27-02-2020 09:00,13.73
27-02-2020 09:05,14.52
27-02-2020 09:10,17.38
27-02-2020 09:15,18
27-02-2020 09:20,13.5
27-02-2020 09:25,10.81
27-02-2020 09:30,15.34
27-02-2020 09:35,16.56
27-02-2020 09:40,18.24
27-02-2020 09:45,16.2
27-02-2020 09:50,14.41
27-02-2020 09:55,12.78
27-02-2020 10:00,12.78
27-02-2020 10:05,15.94
27-02-2020 10:10,16.67
27-02-2020 10:15,15
27-02-2020 10:20,21.66
27-02-2020 10:25,13.92
27-02-2020 10:30,16.17
27-02-2020 10:35,16.95
27-02-2020 10:40,14.26
27-02-2020 10:45,14.46
27-02-2020 10:50,16.07
27-02-2020 10:55,17.92
27-02-2020 11:00,16.17
27-02-2020 16:35,15.4
27-02-2020 16:40,15
27-02-2020 16:45,12.24
27-02-2020 16:50,16.67
27-02-2020 16:55,11.6
27-02-2020 17:00,12.82
27-02-2020 17:05,12.66
27-02-2020 17:10,14.94
27-02-2020 17:15,15.82
27-02-2020 17:20,12.94
27-02-2020 17:25,13.59
27-02-2020 17:30,15.44
27-02-2020 17:35,13.5
27-02-2020 17:40,11.31
27-02-2020 17:45,24.11
27-02-2020 17:50,12.98
27-02-2020 17:55,17.02
27-02-2020 18:00,14.3
27-02-2020 18:05,13.37
27-02-2020 18:10,13.5
27-02-2020 18:15,15.52
27-02-2020 18:20,13.02
27-02-2020 18:25,13.11
27-02-2020 18:30,13.19
27-02-2020 18:35,15.52
27-02-2020 18:40,12.44
27-02-2020 18:45,21.77
27-02-2020 18:50,13.92
27-02-2020 18:55,15.34
27-02-2020 19:00,13.11
28-02-2020 08:35,21.176
28-02-2020 08:40,20.93
28-02-2020 08:45,19.853
28-02-2020 08:50,20
28-02-2020 08:55,18.367
28-02-2020 09:00,19.795
28-02-2020 09:05,21.012
28-02-2020 09:10,20.21
28-02-2020 09:15,17.609
28-02-2020 09:20,21.774
28-02-2020 09:25,20.706
28-02-2020 09:30,18.392
28-02-2020 09:35,17.035
28-02-2020 09:40,20.25
28-02-2020 09:45,18.392
28-02-2020 09:50,19.014
28-02-2020 09:55,17.176
28-02-2020 10:00,16.718
28-02-2020 10:05,19.565
28-02-2020 10:10,19.286
28-02-2020 10:15,19.495
28-02-2020 10:20,19.172
28-02-2020 10:25,20.833
28-02-2020 10:30,14.901
28-02-2020 10:35,19.231
28-02-2020 10:40,17.089
28-02-2020 10:45,18.802
28-02-2020 10:50,16.423
28-02-2020 10:55,17.176
28-02-2020 11:00,14.634
28-02-2020 16:35,15.734
28-02-2020 16:40,18.881
28-02-2020 16:45,19.104
28-02-2020 16:50,18.974
28-02-2020 16:55,14.868
28-02-2020 17:00,25.714
28-02-2020 17:05,17.308
28-02-2020 17:10,17.132
28-02-2020 17:15,19.286
28-02-2020 17:20,19.149
28-02-2020 17:25,15.698
28-02-2020 17:30,14.99
28-02-2020 17:35,15.562
28-02-2020 17:40,14.547
28-02-2020 17:45,19.355
28-02-2020 17:50,18.443
28-02-2020 17:55,17.532
28-02-2020 18:00,16.833
28-02-2020 18:05,13.846
28-02-2020 18:10,14.454
28-02-2020 18:15,15.254
28-02-2020 18:20,14.151
28-02-2020 18:25,16.708
28-02-2020 18:30,13.882
28-02-2020 18:35,15.625
28-02-2020 18:40,19.424
28-02-2020 18:45,18.646
28-02-2020 18:50,13.139
28-02-2020 18:55,13.107
28-02-2020 19:00,17.089
28-02-2020 08:35,17.94
28-02-2020 08:40,21.028
28-02-2020 08:45,18.121
28-02-2020 08:50,21.658
28-02-2020 08:55,14.033
28-02-2020 09:00,14.547
