datetime,Car_volume,2W_volume,3W_volume,Bus_volume,LCV_volume,Truck_volume,Cyc_volume,Car_speed,2W_speed,3W_speed,Bus_speed,LCV_speed,Truck_speed,Cyc_speed
25-02-2020 18:55,258,184,60,20,3,2,7,28.272,30.168,25.352,14.835,23.176,21.862,10.247
26-02-2020 08:35,263,145,96,17,2,2,6,36.096,39.416,32.143,21.774,26.866,25,9.485
26-02-2020 08:40,241,159,90,19,3,1,2,26.471,32.143,33.582,20.455,25.714,25.472,12.273
26-02-2020 08:45,327,162,105,12,8,2,7,27.664,35.34,29.189,15.283,25.763,21.26,16.564
26-02-2020 08:50,326,179,102,17,4,1,8,25.093,34.974,32.609,19.014,21.774,19.149,10.112
26-02-2020 08:55,329,196,110,16,6,1,6,26.892,29.605,24.281,18.698,24.658,21.094,10.843
26-02-2020 09:05,303,210,107,17,4,0,7,27.218,33.416,25.187,18.685,23.41,8.804,11.538
26-02-2020 09:10,358,228,118,16,4,1,4,23.437,28.481,23.077,18.443,21.774,19.014,12.329
26-02-2020 09:15,332,216,142,15,6,3,6,23.356,28.846,24.457,20.225,22.314,25.155,12.919
26-02-2020 09:20,306,182,114,27,4,0,3,26.163,29.348,25.763,18.646,27.411,25.155,10.305
26-02-2020 09:25,306,252,113,14,2,4,6,27.664,33.416,30,19.737,16.463,22.881,13.235
26-02-2020 09:35,334,252,116,15,7,4,3,25,28.723,26.062,17.94,16.875,18.75,12.617
26-02-2020 09:40,316,216,124,19,5,5,2,31.991,34.439,29.605,17.81,17.763,19.194,13.366
26-02-2020 09:45,313,245,122,15,4,2,0,26.786,32.297,31.542,17.857,20.352,25.472,13.366
26-02-2020 09:50,310,272,106,21,4,1,9,27.439,27.551,27.108,18.881,20.984,25.472,13.636
26-02-2020 09:55,371,280,130,21,6,2,7,20.455,27.778,21.429,13.5,18.815,15.698,10.976
26-02-2020 10:05,276,203,120,13,7,3,2,26.471,32.927,28.511,15.341,21.429,19.853,10.15
26-02-2020 10:10,301,249,139,25,3,3,1,26.062,29.736,29.095,17.532,25.472,18.08,14.136
26-02-2020 10:15,294,246,102,17,4,4,5,25.187,33.251,28.602,14.485,22.626,22.253,11.563
26-02-2020 10:20,300,229,131,20,4,4,4,25,27.439,21.987,15.882,23.377,18.367,10.757
26-02-2020 10:25,336,242,133,14,6,3,3,24.816,36.29,29.476,18.75,22.594,21.774,16.875
26-02-2020 10:35,276,228,120,17,7,2,2,27.273,35.433,30.224,18.097,12.882,17.197,13.171
26-02-2020 10:40,260,209,114,15,8,3,3,26.892,31.106,26.786,17.952,25.837,19.853,7.337
26-02-2020 10:45,321,211,121,19,1,5,5,25.568,27.664,27.108,16.77,18.121,19.424,11.489
26-02-2020 10:50,285,221,115,19,6,1,2,27.108,32.767,29.348,17.442,21.658,19.286,12.857
