datetime,Truck_speed
28-02-2020 10:40,22.131
28-02-2020 10:45,18
28-02-2020 10:50,20.455
28-02-2020 10:55,20.455
28-02-2020 11:00,25
28-02-2020 16:35,2.919
28-02-2020 16:40,2.864
28-02-2020 16:45,2.637
28-02-2020 16:50,3.418
28-02-2020 16:55,3.257
28-02-2020 17:00,5.853
28-02-2020 17:05,10.998
28-02-2020 17:10,6.784
28-02-2020 17:15,6.716
28-02-2020 17:20,11.157
28-02-2020 17:25,19.149
28-02-2020 17:30,19.708
28-02-2020 17:35,24.545
28-02-2020 17:40,19.756
28-02-2020 17:45,19.853
28-02-2020 17:50,21.429
28-02-2020 17:55,21.774
28-02-2020 18:00,20.27
28-02-2020 18:05,8.94
28-02-2020 18:10,18
28-02-2020 18:15,21.774
28-02-2020 18:20,19.565
28-02-2020 18:25,10.519
28-02-2020 18:30,8.599
28-02-2020 18:35,17.532
28-02-2020 18:40,17.532
28-02-2020 18:45,18.493
28-02-2020 18:50,18.493
28-02-2020 18:55,15.517
28-02-2020 19:00,18.881
