datetime,PCUFlow
2/28/2020 9:45,505.53
2/28/2020 9:50,539.17
2/28/2020 9:55,557.39
2/28/2020 10:05,489.71
2/28/2020 10:10,444.78
2/28/2020 10:15,451.41
2/28/2020 10:20,563.17
2/28/2020 10:25,773.24
2/28/2020 10:35,497.01
2/28/2020 10:40,603.45
2/28/2020 10:45,576.06
2/28/2020 10:50,598.74
2/28/2020 10:55,581.23
2/28/2020 16:35,238.61
2/28/2020 16:40,253.99
2/28/2020 16:45,333.05
2/28/2020 16:50,272.99
2/28/2020 16:55,350.98
2/28/2020 17:05,528.09
2/28/2020 17:10,513.90
2/28/2020 17:15,499.15
2/28/2020 17:20,564.17
2/28/2020 17:25,635.66
2/28/2020 17:35,517.33
2/28/2020 17:40,613.76
2/28/2020 17:45,670.33
2/28/2020 17:50,611.91
2/28/2020 17:55,748.45
2/28/2020 18:05,622.28
2/28/2020 18:10,634.71
2/28/2020 18:15,546.48
2/28/2020 18:20,680.85
2/28/2020 18:25,616.70
2/28/2020 18:35,353.34
2/28/2020 18:40,521.80
2/28/2020 18:45,526.01
2/28/2020 18:50,611.58
2/28/2020 18:55,606.70
2/24/2020 9:00,528.12
2/24/2020 9:30,599.77
2/24/2020 10:00,618.38
2/24/2020 10:30,564.46
2/24/2020 11:00,569.08
2/24/2020 17:00,569.71
2/24/2020 17:30,541.34
2/24/2020 18:00,583.92
2/24/2020 18:30,526.21
2/24/2020 19:00,435.48
2/24/2020 9:00,409.41
2/24/2020 9:30,468.65
2/24/2020 10:00,566.01
2/24/2020 10:30,539.29
2/24/2020 11:00,546.15
2/24/2020 17:00,675.26
2/24/2020 17:30,582.52
2/24/2020 18:00,467.51
2/24/2020 18:30,590.75
2/24/2020 19:00,517.62
2/25/2020 9:00,665.81
2/25/2020 9:30,646.60
2/25/2020 10:00,548.98
2/25/2020 10:30,562.41
2/25/2020 11:00,562.71
2/25/2020 17:00,535.64
2/25/2020 17:30,585.53
2/25/2020 18:00,504.78
2/25/2020 18:30,557.32
2/25/2020 19:00,497.74
2/25/2020 9:00,540.75
2/25/2020 9:30,405.35
2/25/2020 10:00,526.81
2/25/2020 10:30,510.95
2/25/2020 11:00,473.68
2/25/2020 17:00,600.26
2/25/2020 17:30,648.07
2/25/2020 18:00,547.03
2/25/2020 18:30,586.76
2/25/2020 19:00,447.94
2/26/2020 9:00,685.87
2/26/2020 9:30,577.92
2/26/2020 10:00,527.15
2/26/2020 10:30,532.77
2/26/2020 11:00,564.43
2/26/2020 17:00,535.51
2/26/2020 17:30,508.05
2/26/2020 18:00,528.35
2/26/2020 18:30,542.45
2/26/2020 19:00,490.51
2/26/2020 9:00,413.74
2/26/2020 9:30,466.69
2/26/2020 10:00,567.89
2/26/2020 10:30,467.14
2/26/2020 11:00,573.58
2/26/2020 17:00,606.08
2/26/2020 17:30,603.88
2/26/2020 18:00,706.05
